University Degree,Program,Min Grade,Category,Skills
Engineering,Civil Engineering,3.5,Structural Engineering,"Structural Analysis, Material Strength Assessment, CAD Software (AutoCAD, Revit), Load Calculation, Building Code Compliance"
Engineering,Civil Engineering,3.5,Environmental Engineering,"Environmental Impact Assessment, Water and Wastewater Treatment, Environmental Regulations Knowledge, Renewable Energy Systems, Site Remediation"
Engineering,Civil Engineering,3.5,Geotechnical Engineering,"Soil Testing and Analysis, Foundation Design, Groundwater Flow Modeling, Earthquake Engineering, Geotechnical Data Interpretation"
Engineering,Civil Engineering,3.5,Transportation Engineering,"Traffic Flow Analysis, Highway Design, Transportation Planning, Geometric Design of Roadways, Public Transport Systems Design"
Engineering,Civil Engineering,3.5,Construction Engineering,"Project Management, Cost Estimation and Budgeting, Risk Management, Construction Scheduling (MS Project), Quality Control and Assurance"
Engineering,Civil Engineering,3.5,Material Engineering,"Materials Selection and Testing, Failure Analysis, Nanomaterials Engineering, Corrosion Control, Composite Materials Design"
Engineering,Mechanical Engineering,3.5,Thermal Engineering,"Heat Transfer Analysis, Thermodynamics, Fluid Mechanics, HVAC Systems Design, Energy Efficiency Optimization"
Engineering,Mechanical Engineering,3.5,Manufacturing Engineering,"Process Optimization, Lean Manufacturing, CNC Machining, Quality Control, Materials Handling"
Engineering,Mechanical Engineering,3.5,Mechanical Design,"3D CAD Modeling, Tolerance Analysis, Materials Selection, Stress Analysis, Product Lifecycle Management"
Engineering,Mechanical Engineering,3.5,Mechatronics and Robotics,"Control Systems, Embedded Systems Programming, Sensor Integration, Robotics Design, Automation Systems"
Engineering,Mechanical Engineering,3.5,Automotive Engineering,"Vehicle Dynamics, Powertrain Design, Vehicle Safety Systems, Aerodynamics, Automotive Electrical Systems"
Engineering,Electrical Engineering,3.5,Power System Engineering,"Power Generation, Electrical Grid Design, Load Flow Analysis, Protection Systems, Renewable Energy Integration"
Engineering,Electrical Engineering,3.5,Control System Engineering,"PID Control, System Modeling, Signal Processing, Control Algorithms, Automation Systems"
Engineering,Electrical Engineering,3.5,Electronics and Circuit Design,"Circuit Simulation, PCB Design, Analog and Digital Electronics, Soldering Techniques, Signal Amplification"
Engineering,Electrical Engineering,3.5,Communication System Engineering,"Wireless Communication, Signal Modulation, Network Design, Fiber Optic Technology, Communication Protocols"
Engineering,Electrical Engineering,3.5,Instrumentation and Measurement,"Sensors Calibration, Data Acquisition Systems, Measurement Accuracy, Process Control, Signal Conditioning"
Engineering,Software Engineering,4,Software Development,"Programming Languages (Java, C++, Python), Software Testing, Debugging, Version Control (Git), Algorithm Design"
Engineering,Software Engineering,4,Web Development,"HTML/CSS, JavaScript, Responsive Design, Frontend Frameworks (React, Angular), Backend Development (Node.js, PHP)

"
Engineering,Software Engineering,4,Mobile App Development,"Mobile Programming Languages (Swift, Kotlin), UI/UX Design, App Testing, Cross-Platform Development (Flutter, React Native), API Integration"
Engineering,Software Engineering,4,Database Management,"SQL, Database Design, Data Modeling, Database Optimization, Backup and Recovery"
Engineering,Software Engineering,4,Cloud Computing,"Cloud Platforms (AWS, Azure, Google Cloud), Virtualization, Cloud Security, Containerization (Docker), DevOps"
Engineering,Telecommunication Engineering,3.5,Wireless Communication Systems,"Radio Frequency (RF) Design, Mobile Network Optimization, Spectrum Management, Antenna Design, Wireless Protocols (Wi-Fi, Bluetooth)"
Engineering,Telecommunication Engineering,3.5,Optical Communication,"Fiber Optic Networks, Signal Modulation, Optical Amplifiers, Wavelength Division Multiplexing (WDM), Optical Switching"
Engineering,Telecommunication Engineering,3.5,Network Infrastructure and Protocols,"TCP/IP Protocols, Network Topology, Routing and Switching, Network Security, VPN Configuration"
Engineering,Telecommunication Engineering,3.5,Signal Processing,"Fourier Transform, Digital Signal Processing (DSP), Filter Design, Noise Reduction, Data Compression"
Engineering,Telecommunication Engineering,3.5,Satellite and Microwave Communication,"Satellite Link Budget, Microwave Propagation, Modulation Techniques, Antenna Design, Frequency Planning"
Education,Early Childhood Education,3,Child Development,"Cognitive Development, Social-Emotional Development, Developmental Milestones, Behavioral Observation, Child Psychology"
Education,Early Childhood Education,3,Classroom Management,"Behavioral Strategies, Conflict Resolution, Classroom Organization, Positive Reinforcement, Time Management"
Education,Early Childhood Education,3,Play-based Learning,"Creative Play, Hands-on Activities, Child-Centered Learning, Observation Techniques, Learning Through Exploration"
Education,Early Childhood Education,3,Early Literacy,"Phonemic Awareness, Reading Strategies, Vocabulary Development, Storytelling, Early Writing Skills"
Education,Early Childhood Education,3,Inclusive Education,"Differentiated Instruction, Special Education Needs, Classroom Adaptations, Assistive Technology, Individualized Education Plans (IEPs)"
Education,Primary School Teaching,3.5,Curriculum Design,"Curriculum Mapping, Educational Standards, Learning Outcomes, Assessment Alignment, Cross-Disciplinary Integration"
Education,Primary School Teaching,3.5,Lesson Planning,"Learning Objectives, Instructional Strategies, Resource Planning, Time Management, Differentiated Instruction"
Education,Primary School Teaching,3.5,Student Assesment,"Formative Assessment, Summative Assessment, Rubric Creation, Data Analysis, Feedback Techniques"
Education,Primary School Teaching,3.5,Pedagogy,"Active Learning, Instructional Models, Student Engagement, Differentiated Learning, Critical Thinking Promotion"
Education,Primary School Teaching,3.5,Classroom Technology,"Educational Software, Smartboards, Online Learning Platforms, Virtual Classrooms, Interactive Tools"
Education,Secondary School Teaching,4,Subject-Specified Teaching,"Curriculum Knowledge, Subject-Specific Pedagogy, Content Delivery, Student Engagement, Assessment Techniques"
Education,Secondary School Teaching,4,Adolescent Teaching,"Behavioral Management, Adolescent Psychology, Motivational Strategies, Classroom Communication, Peer Interaction Facilitation"
Education,Secondary School Teaching,4,Educational Psychology,"Cognitive Development Theories, Learning Styles, Behavioral Theories, Motivation Strategies, Child and Adolescent Psychology"
Education,Secondary School Teaching,4,Classroom Discipline,"Behavioral Expectations, Conflict Resolution, Positive Reinforcement, Classroom Procedures, Restorative Practices"
Education,Secondary School Teaching,4,Teaching Strategies,"Differentiated Instruction, Inquiry-Based Learning, Cooperative Learning, Active Learning, Scaffolding"
Art and Human Resources,Fine Arts,3,Painting,"Brush Techniques, Color Theory, Composition, Mixed Media, Surface Preparation"
Art and Human Resources,Fine Arts,3,Sculpture,"Modeling, Casting, Carving, Material Selection, 3D Design"
Art and Human Resources,Fine Arts,3,Visuals Arts Theory,"Art Criticism, Aesthetic Theory, Art Movements, Visual Culture, Conceptual Frameworks"
Art and Human Resources,Fine Arts,3,Art History,"Art Periods, Iconography, Museum Studies, Artistic Styles, Cultural Contexts"
Art and Human Resources,Fine Arts,3,Creative Techniques,"Innovative Thinking, Experimentation with Materials, Concept Development, Artistic Exploration, Visual Storytelling"
Art and Human Resources,Grahpic Design,3.5,Digital Design,"Adobe Creative Suite, Graphic Design Software, Visual Communication, Layout Design, Digital Illustration"
Art and Human Resources,Grahpic Design,3.5,Typography,"Font Selection, Kerning and Spacing, Type Hierarchy, Typeface Design, Lettering Techniques"
Art and Human Resources,Grahpic Design,3.5,UI/UX,"User Research, Wireframing, Prototyping, Interaction Design, Usability Testing"
Art and Human Resources,Grahpic Design,3.5,Branding,"Brand Strategy, Logo Design, Brand Identity, Visual Consistency, Market Positioning"
Art and Human Resources,Grahpic Design,3.5,Motion Graphics,"Animation Techniques, Adobe After Effects, Visual Storytelling, Motion Design Principles, Video Editing"
Art and Human Resources,Human Resource Management,3.5,Recruitment Strategies,"Talent Sourcing, Interview Techniques, Job Description Writing, Candidate Screening, Employer Branding"
Art and Human Resources,Human Resource Management,3.5,Employee Training,"Needs Assessment, Training Program Design, Instructional Delivery, Evaluation and Feedback, Learning Management Systems (LMS)"
Art and Human Resources,Human Resource Management,3.5,Labor Relations,"Collective Bargaining, Conflict Resolution, Labor Laws, Union Negotiations, Employee Advocacy"
Art and Human Resources,Human Resource Management,3.5,Organizational Development,"Change Management, Performance Improvement, Team Building, Organizational Culture, Leadership Development"
Art and Human Resources,Human Resource Management,3.5,Workplace Diversirt,"Cultural Awareness, Inclusion Practices, Diversity Training, Bias Mitigation, Equal Opportunity Policies"
Art and Human Resources,Performing Arts,3,Acting Techniques,"Character Development, Emotional Expression, Improvisation, Voice Control, Method Acting"
Art and Human Resources,Performing Arts,3,Stage Management,"Rehearsal Scheduling, Cue Calling, Set Design Coordination, Cast Communication, Event Logistics"
Art and Human Resources,Performing Arts,3,Dance Performance,"Choreography, Movement Technique, Stage Presence, Rhythm and Timing, Dance Styles (Ballet, Jazz, Contemporary)"
Art and Human Resources,Performing Arts,3,Vocal Training,"Breathing Techniques, Vocal Range Development, Pitch Control, Projection, Diction and Articulation"
Art and Human Resources,Performing Arts,3,Theatre Production,"Set Design, Lighting and Sound, Costume Design, Directing, Production Coordination"
Art and Human Resources,Public Relations,3,Media Relations,"Press Release Writing, Media Pitching, Relationship Building, Crisis Communication, Interview Coordination"
Art and Human Resources,Public Relations,3,Brand Management,"Brand Positioning, Market Research, Brand Consistency, Brand Strategy Development, Customer Loyalty Programs"
Art and Human Resources,Public Relations,3,Strategic Communication,"Messaging Strategy, Audience Analysis, Communication Planning, Public Relations Campaigns, Stakeholder Engagement"
Art and Human Resources,Public Relations,3,Crisis Management,"Risk Assessment, Crisis Communication Plans, Media Handling, Reputation Management, Rapid Response Strategies"
